category,year,price_cad,yoy_change
Dairy,2020,4.257636363636363,
Dairy,2021,4.445333333333334,4.41
Dairy,2022,4.830333333333333,8.66
Dairy,2023,5.112,5.83
Dairy,2024,5.177333333333333,1.28
Dairy,2025,5.2975,2.32
Dairy,2026,5.369999999999999,1.37
Meat,2020,9.27818181818182,
Meat,2021,9.51388888888889,2.54
Meat,2022,10.504722222222222,10.41
Meat,2023,10.874722222222223,3.52
Meat,2024,11.209444444444445,3.08
Meat,2025,12.399722222222222,10.62
Meat,2026,12.311666666666667,-0.71
Other,2020,2.9745454545454546,
Other,2021,3.0050000000000003,1.02
Other,2022,3.4033333333333338,13.26
Other,2023,3.5883333333333334,5.44
Other,2024,3.438333333333333,-4.18
Other,2025,3.4875000000000003,1.43
Other,2026,3.605,3.37
Pantry,2020,4.308051948051948,
Pantry,2021,4.607857142857143,6.96
Pantry,2022,5.53297619047619,20.08
Pantry,2023,6.252976190476191,13.01
Pantry,2024,6.420714285714286,2.68
Pantry,2025,6.020595238095238,-6.23
Pantry,2026,5.9399999999999995,-1.34
Produce,2020,3.620681818181818,
Produce,2021,3.76,3.85
Produce,2022,4.066458333333333,8.15
Produce,2023,4.2325,4.08
Produce,2024,4.040416666666666,-4.54
Produce,2025,4.074791666666667,0.85
Produce,2026,3.96875,-2.6
