food_item,date,price_cad,baseline_price,pct_change
"Almonds, 200 grams 6",2020-02-01,5.13,5.13,0.0
"Almonds, 200 grams 6",2020-03-01,5.34,5.13,4.09
"Almonds, 200 grams 6",2020-04-01,5.5,5.13,7.21
"Almonds, 200 grams 6",2020-05-01,5.52,5.13,7.6
"Almonds, 200 grams 6",2020-06-01,5.57,5.13,8.58
"Almonds, 200 grams 6",2020-07-01,5.63,5.13,9.75
"Almonds, 200 grams 6",2020-08-01,5.12,5.13,-0.19
"Almonds, 200 grams 6",2020-09-01,4.88,5.13,-4.87
"Almonds, 200 grams 6",2020-10-01,4.98,5.13,-2.92
"Almonds, 200 grams 6",2020-11-01,4.51,5.13,-12.09
"Almonds, 200 grams 6",2020-12-01,4.83,5.13,-5.85
"Almonds, 200 grams 6",2021-01-01,5.08,5.13,-0.97
"Almonds, 200 grams 6",2021-02-01,5.15,5.13,0.39
"Almonds, 200 grams 6",2021-03-01,5.12,5.13,-0.19
"Almonds, 200 grams 6",2021-04-01,4.93,5.13,-3.9
"Almonds, 200 grams 6",2021-05-01,5.24,5.13,2.14
"Almonds, 200 grams 6",2021-06-01,5.41,5.13,5.46
"Almonds, 200 grams 6",2021-07-01,5.39,5.13,5.07
"Almonds, 200 grams 6",2021-08-01,5.44,5.13,6.04
"Almonds, 200 grams 6",2021-09-01,5.39,5.13,5.07
"Almonds, 200 grams 6",2021-10-01,4.88,5.13,-4.87
"Almonds, 200 grams 6",2021-11-01,4.87,5.13,-5.07
"Almonds, 200 grams 6",2021-12-01,5.05,5.13,-1.56
"Almonds, 200 grams 6",2022-01-01,5.19,5.13,1.17
"Almonds, 200 grams 6",2022-02-01,5.17,5.13,0.78
"Almonds, 200 grams 6",2022-03-01,5.3,5.13,3.31
"Almonds, 200 grams 6",2022-04-01,5.32,5.13,3.7
"Almonds, 200 grams 6",2022-05-01,5.43,5.13,5.85
"Almonds, 200 grams 6",2022-06-01,5.45,5.13,6.24
"Almonds, 200 grams 6",2022-07-01,5.26,5.13,2.53
"Almonds, 200 grams 6",2022-08-01,5.32,5.13,3.7
"Almonds, 200 grams 6",2022-09-01,5.39,5.13,5.07
"Almonds, 200 grams 6",2022-10-01,5.28,5.13,2.92
"Almonds, 200 grams 6",2022-11-01,4.93,5.13,-3.9
"Almonds, 200 grams 6",2022-12-01,4.98,5.13,-2.92
"Almonds, 200 grams 6",2023-01-01,5.12,5.13,-0.19
"Almonds, 200 grams 6",2023-02-01,5.11,5.13,-0.39
"Almonds, 200 grams 6",2023-03-01,4.61,5.13,-10.14
"Almonds, 200 grams 6",2023-04-01,4.97,5.13,-3.12
"Almonds, 200 grams 6",2023-05-01,4.97,5.13,-3.12
"Almonds, 200 grams 6",2023-06-01,4.85,5.13,-5.46
"Almonds, 200 grams 6",2023-07-01,4.99,5.13,-2.73
"Almonds, 200 grams 6",2023-08-01,4.99,5.13,-2.73
"Almonds, 200 grams 6",2023-09-01,4.58,5.13,-10.72
"Almonds, 200 grams 6",2023-10-01,4.74,5.13,-7.6
"Almonds, 200 grams 6",2023-11-01,4.58,5.13,-10.72
"Almonds, 200 grams 6",2023-12-01,4.6,5.13,-10.33
"Almonds, 200 grams 6",2024-01-01,4.32,5.13,-15.79
"Almonds, 200 grams 6",2024-02-01,4.38,5.13,-14.62
"Almonds, 200 grams 6",2024-03-01,4.35,5.13,-15.2
"Almonds, 200 grams 6",2024-04-01,4.53,5.13,-11.7
"Almonds, 200 grams 6",2024-05-01,4.75,5.13,-7.41
"Almonds, 200 grams 6",2024-06-01,4.56,5.13,-11.11
"Almonds, 200 grams 6",2024-07-01,4.75,5.13,-7.41
