food_item,std_dev,mean_price,min_price,max_price,coefficient_of_variation,price_range_pct
"Olive oil, 1 litre 6",3.1950213958499734,10.896575342465754,6.37,17.14,29.32,169.07
"Strawberries, 454 grams 6",0.9681074917989846,4.261095890410959,2.9,6.74,22.72,132.41
"Romaine lettuce, unit 5",0.6936817211727531,3.0979452054794523,1.75,4.69,22.39,168.0
"Pork shoulder cuts, per kilogram 5",1.444857713681658,6.849726027397261,4.05,9.93,21.09,145.19
"Infant formula, 900 grams  6",7.775372756288857,37.62602739726027,28.83,51.39,20.66,78.25
"Beef top sirloin cuts, per kilogram 5",4.169094265414456,20.354246575342465,12.94,29.4,20.48,127.2
"Margarine, 907 grams 6",1.2524235561818318,6.3213698630136985,4.08,7.61,19.81,86.52
"Iceberg lettuce, unit 5",0.5370340357515112,2.8000000000000003,1.89,4.35,19.18,130.16
"Orange juice, 2 litres 6",0.8922068094716492,4.703150684931507,3.64,6.33,18.97,73.9
"Roasted or ground coffee, 340 grams 6",1.2292753957018454,6.562876712328768,5.15,9.51,18.73,84.66
"Canola oil, 3 litres 6",1.8472593958333716,10.143424657534247,6.9,12.81,18.21,85.65
"Celery, unit 5",0.5392169049872684,2.9991780821917806,2.03,4.29,17.98,111.33
"Beef rib cuts, per kilogram 5",4.831160135746882,27.809726027397257,17.6,39.7,17.37,125.57
"Ground beef, per kilogram 5",1.9890422325944066,11.614520547945206,9.1,16.46,17.13,80.88
"Frozen french fried potatoes, 750 grams 6",0.5077522316712388,2.9804109589041095,2.12,3.75,17.04,76.89
"Tomatoes, per kilogram 5",0.8402396465428938,5.0479452054794525,3.6,6.99,16.65,94.17
"Cantaloupe, unit 5",0.5520644457008632,3.3832876712328765,2.18,4.65,16.32,113.3
"White sugar, 2 kilograms 6",0.42347106126160144,2.6156164383561644,1.7,3.36,16.19,97.65
"Cucumber, unit 5",0.26270523614098445,1.6267123287671232,1.23,2.37,16.15,92.68
"Grapes, per kilogram 5",1.0935348614244926,6.778082191780822,5.14,10.14,16.13,97.28
"Beef striploin cuts, per kilogram 5",4.217354068899808,26.314931506849316,18.43,38.27,16.03,107.65
"Squash, per kilogram 5",0.6757940253420237,4.225068493150685,2.92,5.65,15.99,93.49
"Deodorant, 85 grams 6",1.053917241775375,6.657945205479452,4.98,8.38,15.83,68.27
"Limes, unit 5",0.11464955537613396,0.7373972602739726,0.5,0.99,15.55,98.0
"Ketchup, 1 litre 6",0.630332261202722,4.160821917808219,3.18,4.95,15.15,55.66
"Canned baked beans, 398 millilitres 6",0.2361205029916484,1.5845205479452056,1.2,2.01,14.9,67.5
"Canned tomatoes, 796 millilitres 6",0.2708230591658534,1.832191780821918,1.39,2.24,14.78,61.15
"Canned soup, 284 millilitres 6",0.1857205516028616,1.290958904109589,0.9,1.77,14.39,96.67
"Salsa, 418 millilitres 6",0.58603260022254,4.191369863013699,3.31,4.94,13.98,49.24
"Mayonnaise, 890 millilitres  6",0.8008725739819459,5.763150684931507,4.36,6.52,13.9,49.54
"Beef stewing cuts, per kilogram 5",2.5486703714094623,18.32958904109589,14.2,25.04,13.9,76.34
"Peppers, per kilogram 5",1.0572731179626742,7.642328767123288,4.98,9.62,13.83,93.17
"Pasta sauce, 650 millilitres 6",0.39586600441954994,2.888904109589041,2.08,3.43,13.7,64.9
"Apple juice, 2 litres 6",0.45095510007439177,3.4224657534246576,2.68,4.19,13.18,56.34
"Potatoes, 4.54 kilograms 5",0.6289249664262156,4.817534246575343,3.39,6.22,13.05,83.48
"Carrots, 1.36 kilograms 6",0.4637778738643629,3.6364383561643834,2.83,4.46,12.75,57.6
"Avocado, unit 5",0.24866278596993927,1.9612328767123286,1.47,2.48,12.68,68.71
"Dry or fresh pasta, 500 grams 6",0.3794049755396359,3.040684931506849,2.21,3.73,12.48,68.78
"Oranges, per kilogram 5",0.503068211648059,4.051232876712329,3.15,5.17,12.42,64.13
"Flatbread and pita, 500 grams  6",0.4171318407922608,3.3861643835616437,2.8,4.18,12.32,49.29
"Butter, 454 grams 5",0.6558905317580999,5.402739726027397,4.02,6.42,12.14,59.7
"Apples, per kilogram 5",0.6140123673140565,5.147397260273973,3.97,6.19,11.93,55.92
"Pork rib cuts, per kilogram 5",1.1356448358984828,9.614794520547946,7.7,13.32,11.81,72.99
"Yogurt, 500 grams 6",0.36811394528369706,3.165890410958904,2.59,3.8,11.63,46.72
"Salad dressing, 475 millilitres 6",0.36767482821080893,3.1623287671232876,2.43,3.89,11.63,60.08
"Onions, per kilogram 5",0.5934488241199204,5.111780821917809,4.08,6.21,11.61,52.21
"Onions, 1.36 kilograms 6",0.49727040318249194,4.282602739726027,3.43,5.63,11.61,64.14
"Shampoo, 400 millilitres 6",0.7216675103077524,6.24041095890411,5.08,7.38,11.56,45.28
"Cabbage, per kilogram 5",0.2860409838544897,2.48,1.9,3.1,11.53,63.16
"Peanuts, 450 grams 6",0.4050927698774704,3.633287671232877,2.89,4.39,11.15,51.9
"Peanut butter, 1 kilogram 6",0.6078909694557184,5.5086301369863016,4.47,6.43,11.04,43.85
"Canned beans and lentils, 540 millilitres 5",0.16505360966645619,1.5135616438356163,1.24,1.81,10.9,45.97
"Chicken thigh, per kilogram 5",1.1933125269225142,11.124931506849315,8.65,13.06,10.73,50.98
"Pears, per kilogram 5",0.5504606483833057,5.1498630136986305,4.07,6.86,10.69,68.55
"Sweet potatoes, per kilogram 5",0.4234534938946999,3.9761643835616436,3.08,4.71,10.65,52.92
"Broccoli, unit 5",0.2719785586723214,2.5645205479452056,2.13,3.28,10.61,53.99
"Oranges, 1.36 kilograms 5 6",0.5521640007405869,5.3138356164383564,4.05,6.49,10.39,60.25
"Cereal, 400 grams 6",0.3916974630853747,3.863013698630137,3.13,4.3,10.14,37.38
"Frozen green beans, 750 grams 6",0.3798027806730772,3.763287671232877,3.15,4.51,10.09,43.17
"Whole chicken, per kilogram 5",0.6104533023899391,6.100958904109589,5.13,8.57,10.01,67.06
"Canned corn, 341 millilitres 6",0.1459386768902646,1.4713698630136987,1.15,1.71,9.92,48.7
"Frozen spinach, 300 grams 6",0.18276145759026316,1.876164383561644,1.29,2.2,9.74,70.54
"Toothpaste, 100 millilitres 6",0.34634463221161144,3.658082191780822,3.03,4.31,9.47,42.24
"Canned pear, 398 millilitres 6",0.23886862325990457,2.552054794520548,2.12,3.01,9.36,41.98
"Cookies and sweet biscuits, 300 grams  6",0.28028368158232003,3.0065753424657533,2.55,3.57,9.32,40.0
"Eggs, 1 dozen 5",0.4007348653010925,4.355890410958905,3.53,4.95,9.2,40.23
"Milk, 4 litres 5",0.5448692119610676,6.136986301369863,5.31,6.96,8.88,31.07
"Cream, 1 litre 5",0.37438645902349726,4.262876712328767,3.57,4.87,8.78,36.41
"Dried lentils, 900 grams 6",0.3094306648951804,3.5545205479452058,3.0,4.02,8.71,34.0
"Brown rice, 900 grams  6",0.474637248331613,5.485616438356164,4.62,6.12,8.65,32.47
"Dry beans and legumes, 900 grams  6",0.28209897655308547,3.286027397260274,2.75,3.63,8.58,32.0
